rainfall,temperature,humidity,wind_speed,pressure,moisture_index,instability_index,pressure_drop,rain_intensity,risk_label
8.1,32.4,62.0,2.04,1007.0,502.2,2008.8,6.0,16.524,1
0.0,32.4,62.0,2.04,1007.0,0.0,2008.8,6.0,0.0,0
1.6,32.4,62.0,2.04,1007.0,99.2,2008.8,6.0,3.2640000000000002,0
5.4,32.4,62.0,2.04,1007.0,334.8,2008.8,6.0,11.016000000000002,1
19.9,32.4,62.0,2.04,1007.0,1233.8,2008.8,6.0,40.596,1
4.8,32.4,62.0,2.04,1007.0,297.59999999999997,2008.8,6.0,9.792,1
0.0,32.4,62.0,2.04,1007.0,0.0,2008.8,6.0,0.0,0
3.8,32.4,62.0,2.04,1007.0,235.6,2008.8,6.0,7.752,1
0.0,32.4,62.0,2.04,1007.0,0.0,2008.8,6.0,0.0,0
30.2,32.4,62.0,2.04,1007.0,1872.3999999999999,2008.8,6.0,61.608,2
3.0,32.4,62.0,2.04,1007.0,186.0,2008.8,6.0,6.12,1
4.8,32.4,62.0,2.04,1007.0,297.59999999999997,2008.8,6.0,9.792,1
0.0,32.4,62.0,2.04,1007.0,0.0,2008.8,6.0,0.0,0
0.0,32.4,62.0,2.04,1007.0,0.0,2008.8,6.0,0.0,0
4.7,32.4,62.0,2.04,1007.0,291.40000000000003,2008.8,6.0,9.588000000000001,1
11.2,32.4,62.0,2.04,1007.0,694.4,2008.8,6.0,22.848,1
10.3,32.4,62.0,2.04,1007.0,638.6,2008.8,6.0,21.012,1
0.0,31.85,49.0,4.47,1008.0,0.0,1560.65,5.0,0.0,0
0.5,31.85,49.0,4.47,1008.0,24.5,1560.65,5.0,2.235,0
0.8,31.85,49.0,4.47,1008.0,39.2,1560.65,5.0,3.576,0
0.0,31.85,49.0,4.47,1008.0,0.0,1560.65,5.0,0.0,0
0.0,31.85,49.0,4.47,1008.0,0.0,1560.65,5.0,0.0,0
8.1,31.85,49.0,4.47,1008.0,396.9,1560.65,5.0,36.206999999999994,1
3.5,31.85,49.0,4.47,1008.0,171.5,1560.65,5.0,15.645,1
8.7,31.85,49.0,4.47,1008.0,426.29999999999995,1560.65,5.0,38.888999999999996,1
0.0,31.85,49.0,4.47,1008.0,0.0,1560.65,5.0,0.0,0
0.0,31.85,49.0,4.47,1008.0,0.0,1560.65,5.0,0.0,0
0.7,31.85,49.0,4.47,1008.0,34.3,1560.65,5.0,3.1289999999999996,0
